id,firstname,lastname,course,year,gender
2026-0048,Cyrus,Hernandez,BSPhil,4,Other
2026-0049,Zoe,Lopez,BSPsych,1,Male
2026-0050,Grace,Aguilar,BA Fil,2,Female
2026-0051,Celeste,Salvacion,BA His,3,Other
2026-0052,Noah,Inocencio,BA Pan,4,Male
2026-0053,Noah,Garcia,BA PoS,1,Female
2026-0054,Tobias,Tiongson,BA Psych,2,Other
2026-0055,Miguel,Perez,BA Soc,3,Male
2026-0056,Naomi,Bermudez,BAELS,4,Female
2026-0057,Mark,Neri,BALCS,1,Other
2026-0058,Lina,Inocencio,BET-CET,2,Male
2026-0059,Cedric,Fernandez,BET-ChET,3,Female
2026-0060,Simon,Torres,BET-EET,4,Other
2026-0061,Andrea,Jalandoni,BET-EST,1,Male
2026-0062,Katherine,Nolasco,BET-MET,2,Female
2026-0063,Paula,Quinones,BET-MMT,3,Other
2026-0064,Carlo,Luna,BS Applied Physics,4,Male
2026-0065,Paolo,Zulueta,BS Bio-Animal Biology,1,Female
2026-0066,Nicole,Baldwin,BS Bio-Biodiversity,2,Other
2026-0067,Christian,Bernardo,BS Bio-Microbiology,3,Male
2026-0068,Emilio,Aguilar,BS Bio-Plant Biology,4,Female
2026-0069,Patrick,Nolasco,BS Chem,1,Other
2026-0070,Wesley,Cruz,BS Econ,2,Male
2026-0071,Uriel,Zamora,BS HM,3,Female
2026-0072,Yvonne,Santiago,BS IAM,4,Other
2026-0073,Kenneth,Yason,BS Mar,1,Male
2026-0074,Tristan,Yabut,BS Math,2,Female
2026-0075,Dominic,Estrada,BS Physics,3,Other
2026-0076,Bea,Zamora,BS Stat,4,Male
2026-0077,Elena,Natividad,BSA,1,Female
2026-0078,Denise,Velasco,BSBA-BE,2,Other
2026-0079,Daphne,Padilla,BSBA-MM,3,Male
2026-0080,Luis,Paredes,BSCE,4,Female
2026-0081,Denise,Fuentes,BSCE,1,Other
2026-0082,Elias,Salazar,BSCS,2,Male
2026-0083,Zion,Luna,BSCerE,3,Female
2026-0084,Ramon,Castillo,BSChE,4,Other
2026-0085,Ian,Mendoza,BSCpE,1,Male
2026-0086,Perry,Madrigal,BSECE,2,Female
2026-0087,Jose,Salvacion,BSEE,3,Other
2026-0088,Olivia,Pascual,BSEME,4,Male
2026-0089,Alyssa,Umali,BSENTREP,1,Female
2026-0090,Simon,Sison,BSEnE,2,Other
2026-0091,Zion,Soriano,BSIS,3,Male
2026-0092,Lourdes,Cruz,BSIT,4,Female
2026-0093,Tessa,Cabrera,BSME,1,Other
2026-0094,Perry,Lorenzo,BSMEE,2,Male
2026-0095,Daphne,Ablaza,BSMetE,3,Female
2026-0096,Valerie,Domingo,BSCE,4,Other
2026-0097,Faith,Pascual,BSPhil,1,Male
2026-0098,Ariana,Alvarez,BSPsych,2,Female
2026-0099,Alyssa,Quinto,BA Fil,3,Other
2026-0100,Valerie,Salvacion,BA His,4,Male
2026-0101,Daphne,Umali,BA Pan,1,Female
2026-0102,Tessa,Enriquez,BA PoS,2,Other
2026-0103,Neil,Lacsamana,BA Psych,3,Male
2026-0104,Paolo,Joaquin,BA Soc,4,Female
2026-0105,Ella,De Leon,BAELS,1,Other
2026-0106,Hector,Perez,BALCS,2,Male
2026-0107,Elena,Zamora,BET-CET,3,Female
2026-0108,Eric,Calixto,BET-ChET,4,Other
2026-0109,Ariana,Kasim,BET-EET,1,Male
2026-0110,Wilma,Razon,BET-EST,2,Female
2026-0111,Elias,Pineda,BET-MET,3,Other
2026-0112,Wendy,Yason,BET-MMT,4,Male
2026-0113,Angela,Tagle,BS Applied Physics,1,Female
2026-0114,Vincent,Calderon,BS Bio-Animal Biology,2,Other
2026-0115,Brenda,Fuentes,BS Bio-Biodiversity,3,Male
2026-0116,Valerie,Fernandez,BS Bio-Microbiology,4,Female
2026-0117,Samuel,Fernandez,BS Bio-Plant Biology,1,Other
2026-0118,Nicole,Padilla,BS Chem,2,Male
2026-0119,Leah,Nolasco,BS Econ,3,Female
2026-0120,Sebastian,Lacsamana,BS HM,4,Other
2026-0121,Kevin,Torres,BS IAM,1,Male
2026-0122,Simon,Hidalgo,BS Mar,2,Female
2026-0123,Wesley,Cabrera,BS Math,3,Other
2026-0124,Samuel,Wong,BS Physics,4,Male
2026-0125,Isabella,Garcia,BS Stat,1,Female
2026-0126,Diana,Ong,BSA,2,Other
2026-0127,Aiden,Padilla,BSBA-BE,3,Male
2026-0128,Rita,Manansala,BSBA-MM,4,Female
2026-0129,Celeste,Ocampo,BSCE,1,Other
2026-0130,Miguel,Velasco,BSCE,2,Male
2026-0131,Paolo,Manansala,BSCS,3,Female
2026-0132,Monica,Kasim,BSCerE,4,Other
2026-0133,Tristan,Navarro,BSChE,1,Male
2026-0134,Ana,Rivera,BSCpE,2,Female
2026-0135,Ethan,Zamora,BSECE,3,Other
2026-0136,Jasmine,Abad,BSEE,4,Male
2026-0137,Juan,Salazar,BSEME,1,Female
2026-0138,Paula,Valencia,BSENTREP,2,Other
2026-0139,Eric,Fuentes,BSEnE,3,Male
2026-0140,Ursula,De Vera,BSIS,4,Female
2026-0141,Uriel,Kara,BSIT,1,Other
2026-0142,Noah,Jalandoni,BSME,2,Male
2026-0143,Juan,Pascual,BSMEE,3,Female
2026-0144,Jared,Santiago,BSMetE,4,Other
2026-0145,Janice,Guevara,BSCE,1,Male
2026-0146,Neil,Paredes,BSPhil,2,Female
2026-0147,Celeste,Urbano,BSPsych,3,Other
2026-0148,Laura,Lacsamana,BA Fil,4,Male
2026-0149,Olivia,Benedicto,BA His,1,Female
2026-0150,Kevin,David,BA Pan,2,Other
2026-0151,Rafael,Tiongson,BA PoS,3,Male
2026-0152,Naomi,Tiongson,BA Psych,4,Female
2026-0153,Maya,Cayetano,BA Soc,1,Other
2026-0154,Katherine,Manalo,BAELS,2,Male
2026-0155,Dylan,Dela Cruz,BALCS,3,Female
2026-0156,Selena,Calderon,BET-CET,4,Other
2026-0157,Perry,Soriano,BET-ChET,1,Male
2026-0158,Samuel,Valdez,BET-EET,2,Female
2026-0159,Patrick,Hilario,BET-EST,3,Other
2026-0160,Zion,Mercado,BET-MET,4,Male
2026-0161,Simon,Rivera,BET-MMT,1,Female
2026-0162,Queenie,Bermudez,BS Applied Physics,2,Other
2026-0163,Arman,Neri,BS Bio-Animal Biology,3,Male
2026-0164,Diana,Lacsamana,BS Bio-Biodiversity,4,Female
2026-0165,Nina,San Jose,BS Bio-Microbiology,1,Other
2026-0166,Carmen,Pineda,BS Bio-Plant Biology,2,Male
2026-0167,Dominic,Benedicto,BS Chem,3,Female
2026-0168,Rita,Baldwin,BS Econ,4,Other
2026-0169,Bella,Fuentes,BS HM,1,Male
2026-0170,Shiela,Kabiling,BS IAM,2,Female
2026-0171,Katherine,Tanada,BS Mar,3,Other
2026-0172,Martin,Razon,BS Math,4,Male
2026-0173,Leo,Uy,BS Physics,1,Female
2026-0174,Ian,Rivera,BS Stat,2,Other
2026-0175,Aiden,Fernandez,BSA,3,Male
2026-0176,Isagani,Santos,BSBA-BE,4,Female
2026-0177,Katherine,Kabiling,BSBA-MM,1,Other
2026-0178,Eric,Navarro,BSCE,2,Male
2026-0179,Daniel,Serrano,BSCE,3,Female
2026-0180,Gavin,Estrella,BSCS,4,Other
2026-0181,Nathan,Abad,BSCerE,1,Male
2026-0182,Carmen,Samson,BSChE,2,Female
2026-0183,Bella,Luna,BSCpE,3,Other
2026-0184,Queenie,Ledesma,BSECE,4,Male
2026-0185,Naomi,Nolasco,BSEE,1,Female
2026-0186,Katherine,Bermudez,BSEME,2,Other
2026-0187,Joshua,Macaraeg,BSENTREP,3,Male
2026-0188,Marnie,Morales,BSEnE,4,Female
2026-0189,Martin,Hilario,BSIS,1,Other
2026-0190,Marnie,Salazar,BSIT,2,Male
2026-0191,Bea,Ramos,BSME,3,Female
2026-0192,Isagani,Hilario,BSMEE,4,Other
2026-0193,Denise,Panganiban,BSMetE,1,Male
2026-0194,Heidi,Velasco,BSCE,2,Female
2026-0195,Naomi,Rivera,BSPhil,3,Other
2026-0196,Celeste,De Vera,BSPsych,4,Male
2026-0197,Xavier,Macaraeg,BA Fil,1,Female
2026-0198,Marnie,Yason,BA His,2,Other
2026-0199,Monica,Sison,BA Pan,3,Male
2026-0200,Shiela,Abad,BA PoS,4,Female
2026-0201,Perry,Macaraeg,BA Psych,1,Other
2026-0202,Victor,Mercado,BA Soc,2,Male
2026-0203,Miguel,Dizon,BAELS,3,Female
2026-0204,Jose,Padilla,BALCS,4,Other
2026-0205,Tristan,Rivera,BET-CET,1,Male
2026-0206,Hannah,Aguilar,BET-ChET,2,Female
2026-0207,Cedric,Quinto,BET-EET,3,Other
2026-0208,Wesley,Guevara,BET-EST,4,Male
2026-0209,Miguel,Uy,BET-MET,1,Female
2026-0210,Dylan,Joaquin,BET-MMT,2,Other
2026-0211,George,Kasim,BS Applied Physics,3,Male
2026-0212,Vincent,Mendoza,BS Bio-Animal Biology,4,Female
2026-0213,Nicole,Serrano,BS Bio-Biodiversity,1,Other
2026-0214,Monica,Velasco,BS Bio-Microbiology,2,Male
2026-0215,Katherine,Gonzales,BS Bio-Plant Biology,3,Female
2026-0216,Nicole,Dizon,BS Chem,4,Other
2026-0217,Dylan,Guevara,BS Econ,1,Male
2026-0218,Enzo,Aquino,BS HM,2,Female
2026-0219,Nicole,Zamora,BS IAM,3,Other
2026-0220,Elena,Bautista,BS Mar,4,Male
2026-0221,Gavin,Baldwin,BS Math,1,Female
2026-0222,Lara,Enriquez,BS Physics,2,Other
2026-0223,Isabella,Ledesma,BS Stat,3,Male
2026-0224,Lara,Wong,BSA,4,Female
2026-0225,Marnie,Fernandez,BSBA-BE,1,Other
2026-0226,Adrian,Estrella,BSBA-MM,2,Male
2026-0227,Bea,Del Rosario,BSCE,3,Female
2026-0228,Althea,Yap,BSCE,4,Other
2026-0229,Clarisse,Navarro,BSCS,1,Male
2026-0230,Wesley,Paredes,BSCerE,2,Female
2026-0231,Hazel,Morales,BSChE,3,Other
2026-0232,Ryan,David,BSCpE,4,Male
2026-0233,Sofia,Manalo,BSECE,1,Female
2026-0234,Yvonne,Rosales,BSEE,2,Other
2026-0235,Dominic,Enriquez,BSEME,3,Male
2026-0236,Cedric,Valencia,BSENTREP,4,Female
2026-0237,Ursula,Tanada,BSEnE,1,Other
2026-0238,George,Fernandez,BSIS,2,Male
2026-0239,Jose,Dizon,BSIT,3,Female
2026-0240,Zoe,Cabrera,BSME,4,Other
2026-0241,Enzo,San Jose,BSMEE,1,Male
2026-0242,Hector,Yap,BSMetE,2,Female
2026-0243,Ivan,Kabiling,BSCE,3,Other
2026-0244,Yana,Kasim,BSPhil,4,Male
2026-0245,Emilio,Ocampo,BSPsych,1,Female
2026-0246,Valerie,Ong,BA Fil,2,Other
2026-0247,Isagani,Pineda,BA His,3,Male
2026-0248,Emilio,Pineda,BA Pan,4,Female
2026-0249,Elena,Morales,BA PoS,1,Other
2026-0250,Mila,Padilla,BA Psych,2,Male
2026-0251,Mark,Samson,BA Soc,3,Female
2026-0252,Jasmine,Isidro,BAELS,4,Other
2026-0253,Rita,Benedicto,BALCS,1,Male
2026-0254,Ariel,Ablaza,BET-CET,2,Female
2026-0255,Isagani,Flores,BET-ChET,3,Other
2026-0256,Paula,Lacsamana,BET-EET,4,Male
2026-0257,Bella,Kara,BET-EST,1,Female
2026-0258,Quinn,Diaz,BET-MET,2,Other
2026-0259,Wesley,Tagle,BET-MMT,3,Male
2026-0260,George,Ortega,BS Applied Physics,4,Female
2026-0261,Ramon,Kabiling,BS Bio-Animal Biology,1,Other
2026-0262,Ursula,Lacsamana,BS Bio-Biodiversity,2,Male
2026-0263,Hannah,Samson,BS Bio-Microbiology,3,Female
2026-0264,Wilma,Gatdula,BS Bio-Plant Biology,4,Other
2026-0265,Wendy,Ilagan,BS Chem,1,Male
2026-0266,Leo,Bautista,BS Econ,2,Female
2026-0267,Carmen,Morales,BS HM,3,Other
2026-0268,Zion,Sanchez,BS IAM,4,Male
2026-0269,Yvette,Torres,BS Mar,1,Female
2026-0270,Lourdes,Estrada,BS Math,2,Other
2026-0271,Gabriel,Valencia,BS Physics,3,Male
2026-0272,Leah,Madrigal,BS Stat,4,Female
2026-0273,Lourdes,Lopez,BSA,1,Other
2026-0274,Ariana,Mercado,BSBA-BE,2,Male
2026-0275,Tristan,Salvacion,BSBA-MM,3,Female
2026-0276,Rafael,Romero,BSCE,4,Other
2026-0277,Daphne,Yason,BSCE,1,Male
2026-0278,Daniel,Gonzales,BSCS,2,Female
2026-0279,Ivan,Khan,BSCerE,3,Other
2026-0280,Grace,Yabut,BSChE,4,Male
2026-0281,Lourdes,Castillo,BSCpE,1,Female
2026-0282,Roderick,Ibrahim,BSECE,2,Other
2026-0283,Neil,Dizon,BSEE,3,Male
2026-0284,Ryan,Del Rosario,BSEME,4,Female
2026-0285,Gabriel,Bermudez,BSENTREP,1,Other
2026-0286,Frances,Samson,BSEnE,2,Male
2026-0287,Uriel,Espinosa,BSIS,3,Female
2026-0288,Joy,Madrigal,BSIT,4,Other
2026-0289,Uriel,Panganiban,BSME,1,Male
2026-0290,Lourdes,Aguilar,BSMEE,2,Female
2026-0291,Mia,Sison,BSMetE,3,Other
2026-0292,Isagani,Sison,BSCE,4,Male
2026-0293,Lina,Cayetano,BSPhil,1,Female
2026-0294,Neil,Velasco,BSPsych,2,Other
2026-0295,Nestor,Gatdula,BA Fil,3,Male
2026-0296,Rita,Hidalgo,BA His,4,Female
2026-0297,Denise,Zamora,BA Pan,1,Other
2026-0298,Uriel,Fuentes,BA PoS,2,Male
2026-0299,Grace,Zulueta,BA Psych,3,Female
2026-0300,Mia,Nolasco,BA Soc,4,Other
2026-0301,Uriel,Garcia,BAELS,1,Male
2026-0302,Marnie,San Jose,BALCS,2,Female
2026-0303,Yvette,Zamora,BET-CET,3,Other
2026-0304,Maria,Kara,BET-ChET,4,Male
2026-0305,Wesley,Garcia,BET-EET,1,Female
2026-0306,Queenie,Wong,BET-EST,2,Other
2026-0307,Valerie,Baldwin,BET-MET,3,Male
2026-0308,Vincent,Santiago,BET-MMT,4,Female
2026-0309,Yana,Valencia,BS Applied Physics,1,Other
2026-0310,Miguel,Morales,BS Bio-Animal Biology,2,Male
2026-0311,Kenneth,Macaraeg,BS Bio-Biodiversity,3,Female
2026-0312,Ryan,Umali,BS Bio-Microbiology,4,Other
2026-0313,Brenda,Isidro,BS Bio-Plant Biology,1,Male
2026-0314,Clara,Morales,BS Chem,2,Female
2026-0315,Monica,Cruz,BS Econ,3,Other
2026-0316,Ariel,Fernandez,BS HM,4,Male
2026-0317,Victor,Razon,BS IAM,1,Female
2026-0318,Faye,Pascual,BS Mar,2,Other
2026-0319,Xavier,Quinto,BS Math,3,Male
2026-0320,Zion,Aquino,BS Physics,4,Female
2026-0321,Paula,Perez,BS Stat,1,Other
2026-0322,Isagani,Gutierrez,BSA,2,Male
2026-0323,Leah,Domingo,BSBA-BE,3,Female
2026-0324,Leah,Inocencio,BSBA-MM,4,Other
2026-0325,Carlo,Estrella,BSCE,1,Male
2026-0326,Karl,Nolasco,BSCE,2,Female
2026-0327,Nicole,Perez,BSCS,3,Other
2026-0328,Irene,Cayetano,BSCerE,4,Male
2026-0329,Faith,Bernardo,BSChE,1,Female
2026-0330,Lourdes,Dela Cruz,BSCpE,2,Other
2026-0331,Joshua,Morales,BSECE,3,Male
2026-0332,George,Nguyen,BSEE,4,Female
2026-0333,Carmen,Inocencio,BSEME,1,Other
2026-0334,Paula,Aguilar,BSENTREP,2,Male
2026-0335,Frances,Lopez,BSEnE,3,Female
2026-0336,Samuel,Perez,BSIS,4,Other
2026-0337,Ariana,Gutierrez,BSIT,1,Male
2026-0338,Leah,Yason,BSME,2,Female
2026-0339,Dylan,Soriano,BSMEE,3,Other
2026-0340,Jose,Wong,BSMetE,4,Male
2026-0341,Heidi,Salvacion,BSCE,1,Female
2026-0342,Lina,Sison,BSPhil,2,Other
2026-0343,Finn,Javier,BSPsych,3,Male
2026-0344,Ulysses,Dizon,BA Fil,4,Female
2026-0345,Tristan,Cruz,BA His,1,Other
2026-0346,Ulysses,Lopez,BA Pan,2,Male
2026-0347,Martin,Yabut,BA PoS,3,Female
2026-0348,Clara,Aquino,BA Psych,4,Other
2026-0349,Ian,Macaraeg,BA Soc,1,Male
2026-0350,Joy,Uy,BAELS,2,Female
2026-0351,Isagani,Hernandez,BALCS,3,Other
2026-0352,Leo,Cabrera,BET-CET,4,Male
2026-0353,Cyrus,Fuentes,BET-ChET,1,Female
2026-0354,Tobias,Perez,BET-EET,2,Other
2026-0355,Clarisse,Zamora,BET-EST,3,Male
2026-0356,Isabella,Neri,BET-MET,4,Female
2026-0357,Ariel,Manansala,BET-MMT,1,Other
2026-0358,Ivan,David,BS Applied Physics,2,Male
2026-0359,Leo,Del Rosario,BS Bio-Animal Biology,3,Female
2026-0360,Isagani,Co,BS Bio-Biodiversity,4,Other
2026-0361,Christian,Dizon,BS Bio-Microbiology,1,Male
2026-0362,Tessa,Macaraeg,BS Bio-Plant Biology,2,Female
2026-0363,Victor,Uy,BS Chem,3,Other
2026-0364,Ryan,Jalandoni,BS Econ,4,Male
2026-0365,Mia,Tanada,BS HM,1,Female
2026-0366,Xavier,Wong,BS IAM,2,Other
2026-0367,Alyssa,Quijano,BS Mar,3,Male
2026-0368,Jared,Khan,BS Math,4,Female
2026-0369,Roderick,Quijano,BS Physics,1,Other
2026-0370,Zion,Isidro,BS Stat,2,Male
2026-0371,Wendy,Cayetano,BSA,3,Female
2026-0372,Lina,Morales,BSBA-BE,4,Other
2026-0373,Uriel,Del Rosario,BSBA-MM,1,Male
2026-0374,Jared,Ablaza,BSCE,2,Female
2026-0375,Andrea,Lopez,BSCE,3,Other
2026-0376,Ariel,David,BSCS,4,Male
2026-0377,Angela,Ledesma,BSCerE,1,Female
2026-0378,Gabriel,Gatdula,BSChE,2,Other
2026-0379,Daphne,Castillo,BSCpE,3,Male
2026-0380,Yvonne,Alvarez,BSECE,4,Female
2026-0381,Isabella,Uy,BSEE,1,Other
2026-0382,Roderick,Baldwin,BSEME,2,Male
2026-0383,Brian,Robles,BSENTREP,3,Female
2026-0384,Clara,David,BSEnE,4,Other
2026-0385,Monica,Tagle,BSIS,1,Male
2026-0386,Leo,Flores,BSIT,2,Female
2026-0387,Nestor,Lopez,BSME,3,Other
2026-0388,Paula,Ferrer,BSMEE,4,Male
2026-0389,Martin,Garcia,BSMetE,1,Female
2026-0390,Kevin,Kabiling,BSCE,2,Other
2026-0391,Leo,Romero,BSPhil,3,Male
2026-0392,Frances,Hilario,BSPsych,4,Female
2026-0393,Adrian,Kasim,BA Fil,1,Other
2026-0394,Ana,Tiongson,BA His,2,Male
2026-0395,Leo,Neri,BA Pan,3,Female
2026-0396,Perry,Fernandez,BA PoS,4,Other
2026-0397,Liam,Quinones,BA Psych,1,Male
2026-0398,Christian,De Vera,BA Soc,2,Female
2026-0399,Ariel,Santos,BAELS,3,Other
2026-0400,Liam,Valdez,BALCS,4,Male
2026-0401,Ryan,Co,BET-CET,1,Female
2026-0402,Valerie,De Vera,BET-ChET,2,Other
2026-0403,Nina,David,BET-EET,3,Male
2026-0404,Zoe,Kabiling,BET-EST,4,Female
2026-0405,Queenie,Jalandoni,BET-MET,1,Other
2026-0406,Adrian,Guevara,BET-MMT,2,Male
2026-0407,Aiden,Lim,BS Applied Physics,3,Female
2026-0408,Adrian,Tanada,BS Bio-Animal Biology,4,Other
2026-0409,Alyssa,Ledesma,BS Bio-Biodiversity,1,Male
2026-0410,Celeste,Flores,BS Bio-Microbiology,2,Female
2026-0411,Zion,Gatchalian,BS Bio-Plant Biology,3,Other
2026-0412,Liam,Panganiban,BS Chem,4,Male
2026-0413,Martin,Del Rosario,BS Econ,1,Female
2026-0414,Brian,Quijano,BS HM,2,Other
2026-0415,Karl,David,BS IAM,3,Male
2026-0416,Tessa,Gutierrez,BS Mar,4,Female
2026-0417,Nicole,Enriquez,BS Math,1,Other
2026-0418,Heidi,Yap,BS Physics,2,Male
2026-0419,Orlando,Madrigal,BS Stat,3,Female
2026-0420,Celeste,Luna,BSA,4,Other
2026-0421,Daniel,Salazar,BSBA-BE,1,Male
2026-0422,Janice,Valdez,BSBA-MM,2,Female
2026-0423,Luis,Hernandez,BSCE,3,Other
2026-0424,Zachary,Gatdula,BSCE,4,Male
2026-0425,Leo,Velez,BSCS,1,Female
2026-0426,Christian,Tanada,BSCerE,2,Other
2026-0427,Victor,Tanada,BSChE,3,Male
2026-0428,Naomi,Garcia,BSCpE,4,Female
2026-0429,Hannah,Kasim,BSECE,1,Other
2026-0430,Joshua,Madrigal,BSEE,2,Male
2026-0431,Neil,Del Rosario,BSEME,3,Female
2026-0432,Elias,Santos,BSENTREP,4,Other
2026-0433,Grace,Fuentes,BSEnE,1,Male
2026-0434,Lourdes,Kara,BSIS,2,Female
2026-0435,Katherine,Tiongson,BSIT,3,Other
2026-0436,Denise,Kasim,BSME,4,Male
2026-0437,Giselle,Calderon,BSMEE,1,Female
2026-0438,Nathan,Baldwin,BSMetE,2,Other
2026-0439,Ophelia,Quisumbing,BSCE,3,Male
2026-0440,Carmen,Zulueta,BSPhil,4,Female
2026-0441,Isagani,Jalandoni,BSPsych,1,Other
2026-0442,Irene,Madrigal,BA Fil,2,Male
2026-0443,Wilma,Zulueta,BA His,3,Female
2026-0444,Christian,Sison,BA Pan,4,Other
2026-0445,Nina,Aquino,BA PoS,1,Male
2026-0446,Noah,Villanueva,BA Psych,2,Female
2026-0447,Selena,Rosales,BA Soc,3,Other
2026-0448,Christian,Flores,BAELS,4,Male
2026-0449,Daniel,Belen,BALCS,1,Female
2026-0450,Vincent,Jalandoni,BET-CET,2,Other
2026-0451,Bianca,Ramos,BET-ChET,3,Male
2026-0452,George,Hilario,BET-EET,4,Female
2026-0453,Denise,Diaz,BET-EST,1,Other
2026-0454,Bella,Madrigal,BET-MET,2,Male
2026-0455,Olivia,Khan,BET-MMT,3,Female
2026-0456,Irene,Ortega,BS Applied Physics,4,Other
2026-0457,Faye,Urbano,BS Bio-Animal Biology,1,Male
2026-0458,Grace,De Leon,BS Bio-Biodiversity,2,Female
2026-0459,Ariana,Ramos,BS Bio-Microbiology,3,Other
2026-0460,Jasmine,Espinosa,BS Bio-Plant Biology,4,Male
2026-0461,Vera,Herrera,BS Chem,1,Female
2026-0462,Xavier,Razon,BS Econ,2,Other
2026-0463,Janice,Nguyen,BS HM,3,Male
2026-0464,Brian,Ocampo,BS IAM,4,Female
2026-0465,Xavier,Del Rosario,BS Mar,1,Other
2026-0466,Simon,Delos Santos,BS Math,2,Male
2026-0467,Janice,Urbano,BS Physics,3,Female
2026-0468,Rafael,Macaraeg,BS Stat,4,Other
2026-0469,Olivia,Cabrera,BSA,1,Male
2026-0470,Quinn,Sison,BSBA-BE,2,Female
2026-0471,Nathan,Gatdula,BSBA-MM,3,Other
2026-0472,Bea,Santos,BSCE,4,Male
2026-0473,Cyrus,Quisumbing,BSCE,1,Female
2026-0474,Yana,Yap,BSCS,2,Other
2026-0475,Arman,Bernardo,BSCerE,3,Male
2026-0476,Adrian,Benedicto,BSChE,4,Female
2026-0477,Nina,Guevara,BSCpE,1,Other
2026-0478,Tessa,Magtibay,BSECE,2,Male
2026-0479,Xavier,Gatdula,BSEE,3,Female
2026-0480,Tessa,Robles,BSEME,4,Other
2026-0481,Elias,David,BSENTREP,1,Male
2026-0482,Roderick,Perez,BSEnE,2,Female
2026-0483,Nicole,Quinones,BSIS,3,Other
2026-0484,Dylan,Hernandez,BSIT,4,Male
2026-0485,George,Villanueva,BSME,1,Female
2026-0486,Yvonne,Estrada,BSMEE,2,Other
2026-0487,Jared,Natividad,BSMetE,3,Male
2026-0488,Zoe,Ferrer,BSCE,4,Female
2026-0489,Sebastian,Mendoza,BSPhil,1,Other
2026-0490,Ana,Salazar,BSPsych,2,Male
2026-0491,Maria,Herrera,BA Fil,3,Female
2026-0492,Patricia,Vargas,BA His,4,Other
2026-0493,Nina,Nolasco,BA Pan,1,Male
2026-0494,Samuel,Quinto,BA PoS,2,Female
2026-0495,Alyssa,Alvarez,BA Psych,3,Other
2026-0496,Giselle,Lim,BA Soc,4,Male
2026-0497,Quinn,Ledesma,BAELS,1,Female
2026-0498,Clarisse,Magtibay,BALCS,2,Other
2026-0499,Zachary,Del Rosario,BET-CET,3,Male
2026-0500,Nicole,Ibrahim,BET-ChET,4,Female
2026-0501,Nina,Hilario,BET-EET,1,Other
2026-0502,Giselle,Ledesma,BET-EST,2,Male
2026-0503,Juan,Neri,BET-MET,3,Female
2026-0504,Finn,Kasim,BET-MMT,4,Other
2026-0505,Bea,Baldwin,BS Applied Physics,1,Male
2026-0506,Kenneth,Ibrahim,BS Bio-Animal Biology,2,Female
2026-0507,Aiden,Umali,BS Bio-Biodiversity,3,Other
2026-0508,Nina,Cayetano,BS Bio-Microbiology,4,Male
2026-0509,Queenie,Joaquin,BS Bio-Plant Biology,1,Female
2026-0510,Ariel,Samson,BS Chem,2,Other
2026-0511,Kenneth,Alvarez,BS Econ,3,Male
2026-0512,Olivia,Calderon,BS HM,4,Female
2026-0513,Enzo,Bernardo,BS IAM,1,Other
